order	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.083057	0.0	0.0	13.214588000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077243	0.0	0.081811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727273	0.0	4.025854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiales	0.01457449012775842	0.06963578745644604	0.018137504065040645	0.0015364738675958185	0.0041618606271777	1.4803516991869923	0.025912773519163764	22.27673732404184	0.2670608513356564	0.1952899965156795	0.003243770034843206	0.0008559941927990708	3.6482705656213694	0.0005749756097560975	1.6914637351916393	0.0021396480836236935	0.0008148524970963995	0.020023371660859463	0.007314488966318234	2.102094800232286	9.938122193960517	2.309984723577235	0.0007139488966318233	0.03639847967479673	0.5586843228803721	0.05724534843205575	0.007500814169570268	0.00449802787456446	22.94937244715449	0.0005451207897793264	0.05623965853658534	0.00591038675958188	0.0006053368176538908	0.0	0.004311937282229964	2.5554096666666677	0.001156246225319396	0.4510648222996515	0.04542763414634147	0.02777984320557493	0.0006891695702671313	0.025312216027874566	1.7923325249709616	0.00019702090592334495	0.0005676202090592335	0.0033930313588850175	0.9840828780487808	0.0013616585365853657	5.469770993031358	0.0011512938443670152
Micrococcales	0.45163960000000003	0.11827939999999999	1.8481838	0.0	0.8136586	0.41402779999999995	2.108024	0.067683	0.231735	0.0	0.34034380000000003	7.3485005999999995	0.1601928	0.0	3.831913	0.0	0.437024	1.360446	0.0477326	7.4568129999999995	0.2425662	0.1182636	0.9501492	0.0	0.1151082	11.373469199999999	6.635591	0.11803139999999998	3.5192044	0.11915659999999999	1.384271	0.170574	0.083819	0.446437	12.74997	0.587181	2.461134	29.200813	1.237562	0.0	1.399767	0.07054679999999999	3.1042792	1.7307888	0.8052396	0.6192104	34.060516	0.13648159999999998	1.74406	0.8588968
Veillonellales	0.13626362164595968	0.01811863081050405	0.24317142829353752	0.01918279332990953	3.2522995117130513	0.09947529392028162	0.06901664924218974	0.17416336462012164	2.9508548582333156	0.003196602553549737	2.87084736670841	0.9925945072650352	3.4316589114688116	0.07965512389664327	0.07108419069076465	0.03325936192211544	0.016447487450343082	0.05968447275728968	0.19130609837756146	0.3386164845049316	2.603278348378147	0.0751257740434448	5.711331258060015	3.64230599219677	0.02240783439799637	1.5171885559340896	1.1097065002438873	1.0079012007194679	0.017715884366806905	1.731724253714595	1.5421747247423931	0.07036728415129472	0.4576804422549282	0.006098029123458701	0.018973062630444675	0.31817864731160855	39.892647288462115	0.027235164447055288	0.35969427204427035	0.20268516806726133	5.258471946127227	8.208892091688238	18.293879440625098	2.770779717730627	2.189423651094212	22.65069945217284	0.013925697942902169	16.79020046530699	0.8259859639081575	4.783136202561522
Saccharomycetales	0.009283444444444445	0.0	0.07502927777777778	0.0	0.3021627777777778	0.050368500000000004	0.3140123888888889	0.0	0.06459544444444444	0.0	0.007182333333333334	0.07362788888888888	0.019570333333333332	1.1903532777777777	0.020468166666666666	0.0	0.0	0.08894861111111112	0.0	0.0	0.015353722222222223	0.023301444444444444	0.0	0.007110555555555555	0.0	2.0137877222222222	1.1487904444444446	0.5027531111111112	0.009670222222222222	0.0	0.0	0.0193405	0.0061406111111111114	0.01510188888888889	0.6224468888888889	0.0	0.0	0.0	0.0	0.03859716666666667	0.3394482777777778	0.0	0.22353483333333335	0.026743388888888893	0.021465444444444443	26.959305222222227	0.0	0.1439257777777778	0.0	0.12271155555555555
Malvales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.365138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.728441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.069726	0.0	0.0	0.0	0.0	0.366972	0.0	0.0	0.366972	0.0	0.0	0.0	0.0	0.0	0.0
Coleoptera	0.0	7.788089888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavobacteriales	3.6495375	1.7030925	8.5362495	4.061685	8.9298665	7.6870639999999995	15.4154585	8.45165	2.7058565	8.634432	2.3121885	4.1509215	13.016597	68.7785195	30.302346	6.208260999999999	4.398676	1.638484	0.0707175	1.667159	4.287673	2.6155795	44.414553	3.0662935	17.447448	5.3714775	0.11968050000000001	0.66135	3.176103	0.4921635	0.812281	199.0184485	2.9539015	7.3112745	7.650275	9.406416	0.754103	33.935313	21.963237999999997	6.1467845	0.615527	0.8299075	3.0038955	6.047496499999999	35.0784605	0.2077265	1.9224495	0.947825	12.843723	14.167171
Pasteurellales	0.0644736559139785	0.5075528835125448	1.0815462652329746	0.0	7.373724795698925	1.6671851971326166	0.7494770609318994	4.117397921146955	1.038467430107527	0.0225341935483871	9.290133841781872	0.016003580645161292	6.017378058371735	0.35916802764976963	0.12060440501792113	0.07349422580645161	0.13750856221198157	0.9780851863799285	0.18643028315412188	0.005113569892473117	0.01744225806451613	0.0642175806451613	0.6799105811571939	0.011874075268817206	0.5971866702508959	0.556495501280082	0.030548827956989245	7.842098245263698	0.02582226164874552	0.9344778735279058	0.018803408602150535	0.06646768817204302	0.04401460215053764	0.04289862365591399	0.2094597347670251	2.526358505376344	21.64125310931899	0.01207725806451613	0.0	0.1501895017921147	0.11152593548387096	7.449690358934972	23.650133703277007	11.616006794162825	3.8086843996415776	16.638318462877628	0.0003948172043010753	9.457541860727089	0.08088967741935485	3.5986322544802882
Spirochaetales	6.178749	42.701714	14.713854	18.297538	9.918027	11.072867	1.616699	14.884635	24.691463	2.17002	2.3389	11.008352	0.851612	2.270968	14.549151	13.745357	19.653133	9.684247	0.139279	37.47477	32.097533	2.586341	0.443264	0.119165	12.426564	0.844402	0.602657	16.852372	12.636054	2.227704	0.676281	0.151423	71.304377	1.256547	1.850855	6.987483	20.936999	27.157881	24.860726	26.972308	17.92448	8.790514	25.829974	15.954837	3.721822	3.475523	40.81025	4.19317	4.70778	16.459964
