class	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Coriobacteriia	1.2697347964756789	1.1320136894906319	0.6853262854277652	5.513470171134111	1.6546712166191828	0.04222763389487412	1.1842746541738767	0.3552427421921685	1.2258176537310947	0.09531128741298936	0.9890230555861061	2.6595980312702703	0.7572502977889544	0.8273225964862527	7.116680526093541	1.3901405641953526	0.5124658251623533	2.352521830022302	1.0364595723236227	1.287872303128454	0.49526431173209273	0.04490665777836073	0.8422850960016808	0.5966031039687711	0.3318405933475379	0.21665577406379286	2.3781247947572175	6.928526487258228	9.573692191583918	0.5410443916346791	0.7529318034680207	0.6605625916693999	1.6264030877870757	0.09345199667026237	3.46682428547687	0.6618724881858602	0.24550495177573312	3.6248624897657775	0.13761838140733845	3.3996801919925836	2.710896340793659	0.975996993723943	0.44202016220212337	0.14768551145596745	0.41462107348870303	3.2616195866220052	2.7414711968470193	0.5450320594978559	1.213854396147763	0.9374455915209614
Deltaproteobacteria	5.487250113300492	3.80031212315271	41.73938845197044	0.2563350985221675	0.08906477586206897	51.799702222906404	8.187998461822659	2.2458711169950734	18.406018024630544	1.6293346428571427	4.972973931034483	2.8686626157635478	0.014291699507389163	2.9521726625615763	6.225850337438423	6.7089762044334975	1.898973490147783	1.495113447044335	6.892501275862069	14.36873531034483	0.8447397660098521	12.367924192118224	4.368863604679803	14.277432917487685	13.52235685098522	2.8263759433497535	0.1733642118226601	1.7188689236453203	13.969613046798031	0.00039739408866995075	0.01217490147783251	0.7904250221674877	0.46190084729064035	0.021299128078817734	0.43149927586206893	4.836870793103448	2.1700588374384235	2.6601658866995077	2.252959736453202	1.1601768226600986	0.31256140886699507	0.005239266009852217	0.0863223472906404	0.19600325492610837	6.110316096059114	0.0005770591133004926	0.3338599137931035	0.27566089655172415	3.7129393374384225	2.847322384236453
Fusobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.083057	0.0	0.0	13.214588000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077243	0.0	0.081811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727273	0.0	4.025854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Betaproteobacteria	0.8188676758682101	0.0017146233303650938	1.5107939741763123	0.0010087907390917187	0.0009921406945681212	0.002346081923419413	2.7195488098842384	0.0012996874443455032	0.00196346482635797	0.0011919501335707924	7.168929210596617	0.1878757569011576	0.0	6.0949243098842396e-05	0.37589690204808585	0.0014313650934995547	0.0	0.39941858414959924	0.0016532546749777383	0.0753228227960818	0.9891692359750665	0.00020070614425645594	0.44633131700801426	0.0019998682101513795	0.13677963490650058	0.0007334612644701692	0.0050598869100623315	2.7251998886910065	5.749379979519145	0.3468121375779162	0.0002016874443455031	0.0018256509349955478	0.0003669813000890472	0.04843038735529831	0.002215837043633125	0.7385185271593945	5.034175590382904	0.00012644879786286733	0.040090705253784525	0.3373437373107747	9.60106856634016e-05	3.406929873552983	0.0011474087266251111	0.0018028299198575245	1.93663414158504	0.10975957168299198	0.0007384951024042742	0.7804654229741763	0.040929150489759536	0.811899215494212
Epsilonproteobacteria	1.3010365	0.571096	4.3104035000000005	8.005297500000001	3.8807295	0.922277	12.600287	2.0037605	4.8744615	0.483883	2.447167	2.7969030000000004	11.67156	1.348854	8.5017145	3.9187754999999997	0.213467	1.1684290000000002	0.1074495	13.1079845	0.83202	3.5403960000000003	0.0967045	0.054083	0.2344195	27.073781	0.0	1.47618	5.81232	1.1185545	2.2108835	5.7609225	0.0358165	2.1388915	0.6531165	17.5850635	2.0916905	2.5385035	1.0755735	1.384849	0.6982455	0.6891115	2.5454875	0.0358165	28.880556	51.5551575	23.9694195	6.254143	5.125358	12.139506
Erysipelotrichia	2.53492242962963	29.154345000000003	3.335022444444445	3.507944066666666	1.2630038666666665	2.8166805851851855	1.5210171999999997	1.946468333333333	3.644229733333333	3.2194958000000002	12.156013199999999	2.1367581555555555	3.463549948148148	8.0290852	26.709337659259266	3.884838162962963	5.280529111111112	2.194871940740741	2.032467066666667	8.285735814814814	2.059384066666667	6.920315733333334	17.53167862962963	1.9465609333333334	1.8926619407407406	1.3019161333333333	1.1575335185185183	5.806745059259259	14.497947022222219	3.2875066666666672	0.47657	1.000951	9.520804066666667	0.6029257333333333	15.431811533333335	7.470649251851854	5.474335533333333	3.6168044	2.1609458	3.3272248518518515	1.2628908074074072	2.6932749481481486	13.890755133333332	9.687775192592593	3.3940626666666662	21.844587444444443	10.308942088888891	9.363338014814815	4.454819711111111	2.4585396000000004
Clostridia	90.4626088579796	263.69779570624047	87.03265371459796	223.68836334070247	131.26899535589314	43.801580338160626	54.9147762948052	104.63257838797443	84.85485089929588	43.335989688822366	239.64369813023131	72.56571295015465	188.9622639326847	123.90354686805712	345.61164381271055	195.32851150111725	229.12981595992252	264.3060896076172	61.138202890300875	257.5224508167372	89.30910707874207	133.4063207432313	92.85995953282436	41.30187683152384	344.70076080905676	32.28893211945375	18.24375506975813	268.11255424397444	191.71088415437106	254.5206740378597	29.286906426764393	22.32140628640269	218.598683212236	174.90435675662144	267.90422466139444	177.42180986859782	152.13866387528518	45.61017682791244	160.66814149976463	208.42711846078006	317.2947362718787	134.79667162806274	187.79052175611145	140.93961874611566	295.29905791792106	252.41946591668204	317.5994669552876	137.00718469149473	51.76031464286049	229.08897437969566
Spirochaetia	6.178749	42.701714	14.713854	18.297538	9.918027	11.072867	1.616699	14.884635	24.691463	2.17002	2.3389	11.008352	0.851612	2.270968	14.549151	13.745357	19.653133	9.684247	0.139279	37.47477	32.097533	2.586341	0.443264	0.119165	12.426564	0.844402	0.602657	16.852372	12.636054	2.227704	0.676281	0.151423	71.304377	1.256547	1.850855	6.987483	20.936999	27.157881	24.860726	26.972308	17.92448	8.790514	25.829974	15.954837	3.721822	3.475523	40.81025	4.19317	4.70778	16.459964
Mammalia	0.009945529411764705	0.020712529411764706	0.054857411764705884	0.009445764705882353	0.9776646666666666	0.11224486274509805	0.0	0.0	0.06713364705882352	0.0	0.12153541176470588	0.1322445294117647	0.05015041176470588	0.0	0.012677470588235294	0.029986529411764704	0.0	0.12487419607843137	0.03453664705882353	0.21798492156862745	0.0	0.009395764705882353	0.019941	0.0	0.019643058823529413	0.037329176470588234	0.0	0.0	0.264832	0.0	0.030658058823529417	0.029086941176470586	0.0	0.008596117647058824	0.0	0.0	0.0	72.90565452941176	0.0	0.0	0.020395235294117648	0.04742876470588236	0.0	0.009995529411764705	0.0	0.04687894117647059	0.0	0.037336705882352945	0.007196764705882353	0.0
Hexapoda	0.0	7.788089888888889	0.0	0.0	6.623365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.263062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.777939	0.0	0.0	0.0	0.0	0.0	0.340349	0.0	0.0	0.0	0.0	0.206821	0.0	0.0	46.857754	0.0	0.0	0.0	0.0
