familly	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Porphyromonadaceae	0.6698802424242424	0.0003666875	0.0008763825757575757	19.996303202651514	0.6683994526515151	2.665679607007576	0.003546783143939394	2.654974114583333	0.002009913825757576	0.32559366193181816	0.00048821875	0.0005377926136363637	50.4855149375	2.21286725	14.134179128787876	0.33472982954545455	1.656115884469697	0.0	0.0003666875	2.33389	0.006284125946969694	0.0006094867424242424	0.0007287916666666667	1.9421925454545454	2.5256451297348486	0.0014502481060606062	0.00337654071969697	0.00017967708333333334	0.0018084441287878788	3.222212926136364	0.0007506164772727273	10.867345301136364	0.032013274621212125	0.756425625	0.09346154261363637	17.670893991477275	1.6104351666666665	3.668316703598485	11.06361934375	13.61498634564394	0.0	0.0	4.969153825757576	0.0009121344696969697	43.32737934375	0.641068	0.33406312026515156	0.12827670833333332	1.0025125274621214	56.98778941950758
Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriaceae	125.39891936868196	0.1995529981480411	2.989191741853309	0.0043911051335292885	16.205414477924716	3.005638998114355	2.3753375334054376	19.902236891975345	221.58672879476822	0.29767213292679146	138.206802038624	17.964529942668502	27.071266673613373	0.2470033495928373	1.4981927184585064	0.08783403019147659	7.657894612265047	32.55680339904058	38.713877707131374	28.612915528406003	0.6113785574207347	1.1190266043042723	1.5728850295287269	0.22660612059165658	0.02251093586745734	1.8706066354869553	548.3775409980226	4.512253564811171	28.115641124401662	23.16616711785662	0.09043663397069632	3.416442837841787	146.24195174062763	0.057273934869209606	6.200603246210087	38.33372820413997	0.780936737027229	3.7165275012481165	157.19153555389045	0.3607058807240812	5.9387238137055585	1.471431559201088	1.1252697030815668	12.244556684895644	0.02852885630484756	157.74665690718174	11.598477923999218	3.7592019271159645	6.960384783642636	10.778754300054253
Alloherpesviridae	0.0	0.0	0.0	0.0	0.0	13.26673	0.0	2.319785	0.0	0.0	0.0	0.006837	0.126423	0.0	0.119278	11.457746	12.47212	4.06503	1.203787	0.00653	0.0	0.0	0.080784	0.0	0.0	0.0	0.0	0.0	0.0	0.005025	0.0	0.0	0.0	0.0	0.062699	0.0	0.0	0.0	0.0	0.005162	0.535161	0.215753	0.0	2.273802	0.0	0.1915	0.0	0.528632	0.005538	0.0
Inoviridae	24.33552057142857	0.007493857142857142	0.8614142857142858	0.0	0.5467244285714286	0.4038272857142857	0.5553221428571428	19.554943142857145	10.169387285714285	0.2190342857142857	105.16901071428572	15.910647285714287	25.642488000000004	0.07491071428571429	1.0144137142857141	0.050793285714285714	4.737070714285714	5.325207714285713	13.951763	2.372907857142857	0.5771582857142857	2.303917714285714	0.2418667142857143	0.2945165714285714	0.05664528571428572	3.395172857142857	141.65018385714285	2.0007685714285715	9.373192999999999	0.11875642857142857	0.0	0.5346611428571428	0.0	0.009968000000000001	0.045336428571428576	8.064469285714285	0.33080885714285707	0.4619478571428571	289.91155385714285	0.17531628571428573	0.13073457142857142	0.25663585714285714	0.08832899999999999	0.6483297142857143	0.04196071428571429	3.8041515714285707	36.959677285714285	2.6482657142857144	1.5638954285714288	5.811489857142858
Neisseriaceae	0.0	0.0	0.564059	0.0	0.0	0.0	0.1063595	0.0	0.0	0.0	7.1679405	0.0	0.0	0.0	0.0	0.0	0.0	0.389493	0.0	0.0	0.0	0.0	0.446146	0.0	0.0	0.0	0.0	2.7054460000000002	0.0	0.1902415	0.0	0.0	0.0	0.0	0.0	0.738095	5.0330010000000005	0.0	0.0	0.337302	0.0	3.399664	0.0	0.0	1.774945	0.10941	0.0	0.780045	0.0	0.731859
Podoviridae	642.3560087026738	1.028630394257703	4.684903571428571	3.366235445454546	17.639994157193787	50.460783997058826	11.07364672051184	91.12802766814363	939.4266062517697	5.580951723809524	725.6547803982811	130.11805232794754	100.17439439027245	2.792010432098294	9.985390019353195	5.654315911471861	37.416084456277055	83.77297966373823	200.56958479146937	32.407412615164255	8.206925184351922	7.914883675464733	6.44205281479501	2.6393568384772093	2.03758710974026	12.581873638311686	1264.5425659852306	9.01633160108225	93.83286004956709	149.3753454831296	0.9656876653679654	6.043881897224345	772.8643520761905	1.5918097389610388	9.941453510096766	71.35670454499618	7.668088021428572	15.26844580693914	782.7834144215304	2.5894748629106186	13.311679786325438	4.43187586566081	6.586178746753247	82.95464894399034	4.07939383896104	86.67084279657497	89.268964164082	19.679994695518207	21.6505015521263	15.825799659039982
Papillomaviridae	0.0	0.0	0.813536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.248623	0.0	0.276243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Odoribacteraceae	0.011510894206549117	0.041455459277917724	0.8410233979848869	0.8716728900083972	0.0028576255247691014	1.2292038236775826	0.34981254743912676	0.5137585978169602	0.026751093198992444	0.16449317632241814	0.01569097732997481	0.1066468975650714	1.6484287447523107	0.021765331654072205	0.33141323173803516	3.1214187355163747	0.4352059412258612	0.24505142149454218	0.0015974055415617127	0.07925489168765751	0.7705578900083958	1.1104920075566724	0.00977361544920235	0.06458845256087319	1.7268036288832906	0.0132205516372796	0.0016538278757346765	0.0033776448362720403	4.813838672544083	0.20759077581864	0.09877245424013437	0.0053526599496221666	0.20200954492023493	0.8544517531486125	0.02268019311502938	0.05037236943744752	0.01837862216624685	0.7266363996641473	2.6768043064651557	0.6434423534844668	0.007533248530646514	0.03340233921074726	0.029611977329974812	1.2556909706129304	0.017899075566750626	0.0025821460957178837	0.02931291351805206	0.008719468513853903	0.47942458690176304	0.091443704450042
Erysipelotrichaceae	2.53492242962963	29.154345000000003	3.335022444444445	3.507944066666666	1.2630038666666665	2.8166805851851855	1.5210171999999997	1.946468333333333	3.644229733333333	3.2194958000000002	12.156013199999999	2.1367581555555555	3.463549948148148	8.0290852	26.709337659259266	3.884838162962963	5.280529111111112	2.194871940740741	2.032467066666667	8.285735814814814	2.059384066666667	6.920315733333334	17.53167862962963	1.9465609333333334	1.8926619407407406	1.3019161333333333	1.1575335185185183	5.806745059259259	14.497947022222219	3.2875066666666672	0.47657	1.000951	9.520804066666667	0.6029257333333333	15.431811533333335	7.470649251851854	5.474335533333333	3.6168044	2.1609458	3.3272248518518515	1.2628908074074072	2.6932749481481486	13.890755133333332	9.687775192592593	3.3940626666666662	21.844587444444443	10.308942088888891	9.363338014814815	4.454819711111111	2.4585396000000004
