order	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Campylobacterales	54.089859000000004	73.246395	114.327268	21.316139	36.352047999999996	5.003266	32.025279	0.0	17.368534	383.338676	369.846152	102.913422	29.374878	21.703274	26.142566	22.957768	44.863893000000004	23.532218	9.499563	31.13099	0.211194	7.642026	472.89506500000005	52.43853	237.013908	75.824698	121.825141	26.43731	636.049285	29.073922	21.289335	1.44245	32.771922	403.893642	9.313718	444.923319	265.950507	63.883866	200.461186	5.055968	1.6009419999999999	1.036959	41.383528999999996	71.96024	114.014819	206.844808	37.968149000000004	22.748682	0.986271	36.476252
Bunyavirales	0.0	1.59028	0.0	0.0	0.393543	0.0	4.606419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028531	0.539515	0.0	0.0	0.187262	0.383239	1.842163	0.237233	0.0	0.25157	0.984238	1.447432	0.12475	0.0	1.507917	0.0	0.027318	0.01291	0.0	27.178184	0.014265	0.751641	0.0	0.0	0.0	0.0	0.042725	1.347076	0.042796	0.0	0.173955	0.866762	16.889735	0.181559
Coriobacteriales	7.764155166666668	0.0	0.9091016666666667	0.24727233333333332	0.025793333333333335	0.0	0.04812033333333333	0.292379	0.0	0.08526016666666668	0.0	0.8684436025641026	0.036501	0.015196666666666666	0.13646266666666665	0.06956866666666667	0.08875855128205129	0.7157396666666666	0.07272066666666667	0.0	0.453366	0.3088323333333333	73.895851	0.16621066666666667	1.5343673333333334	1.0115656666666666	3.3612516666666665	0.014738333333333332	8.98807526923077	0.5696101666666666	0.026811666666666668	0.0	0.0	0.7668148333333333	0.1140919358974359	0.9751635	1.256504166666667	0.14390616666666667	2.5797142820512824	0.13187800000000002	0.0	2.0076899487179487	0.7332723333333334	1.4476193717948718	0.6089893333333333	0.4390745897435898	0.02594783333333333	1.1550993333333335	14.417190999999997	5.5292303333333335
Bifidobacteriales	39.71475733237264	140.955491275999	61.16000001073535	8.948705784346037	33.99608829542607	19.88233410909173	34.774861653787966	0.694322218012435	0.7745931546108473	1.0294820892238736	205.468546465323	1.185320830122013	11.643424940257834	17.311855124724573	1.7067200001981255	17.014500387180487	3.955725147232328	9.629561926048243	0.1962468366697922	0.4457887932879123	343.45183030325575	4.619543969889315	209.11292220396805	3.801448984522879	63.45420152997087	4.08191427063758	17.2684110078912	12.231962398544967	28.56411496879724	25.44116971202496	0.7233525636910729	1.5595687141584584	0.6270131973002377	1.3737917922643237	58.55943250971802	92.89612461121997	8.157819476765232	8.959974465352474	172.44463458465393	19.43092932031492	0.3268534001718542	1.4267670688472158	87.8744722569647	272.66498422095714	2.148360077198446	31.842265378210843	142.2473278652584	0.5315839023089733	45.098327983572595	4.1693915763094065
Pseudomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.029371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.587372	0.0	0.0	0.0	0.48605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillales	25.37460064486244	15.29632582155206	11.697456624994853	14.130740724012952	19.567737902256614	14.443486433462203	12.536495731437423	31.569388793327104	11.853512366211266	75.40425289147692	32.66860803543135	11.312000462112412	14.2967282831495	6.635843153712744	9.623608257648412	10.025809865593581	8.51365172162323	13.27777498865108	2.270294054961939	2.0539889106392133	75.19352444757493	5.227133390540593	109.21234899810523	3.3101841485623416	24.359044380024237	4.420815530605956	101.06808468442685	13.300657902322111	25.349489216562844	60.044471490713185	2.330701248210312	2.5463281790985888	0.548984462385487	225.38505810929598	35.69148221603424	12.239527085717834	18.710902201827277	9.141612292153756	58.380610238637544	2.353716693679744	1.1624936046380314	28.268427848368688	35.224205382781165	16.731447176480852	14.026102215768336	6.463001348188723	5.286007578172143	9.448953368764471	161.88329354511689	6.541792941350755
Enterobacterales	0.06969101879641189	26.685024211410408	1.772129274941997	0.014594716363694181	7.765239772956264	0.8017838209518242	6.805285587945809	330.33784477687163	0.9260023447618788	12.631687693006734	4.333915447158021	7.276779117085167	18.9682635775393	1.104596617666831	0.7339486113388053	104.47755113785215	339.7734988206772	5.016805046388033	0.048632780451976027	0.11830545657530071	21.27003388944014	1.0700270803744927	71.50625326994953	2.654636609096559	305.7524011406192	18.745602530165534	40.54948429306177	1.972297409162616	6.6774691053865105	3.474595644633164	0.3484698250069953	1.8398532446489868	13.41010912079621	75.85519037527865	0.0726722668182012	0.6752100792138478	62.3500135105092	1.1964924055483077	4.029941750980944	4.86702082166571	28.692064906666147	3.663411316676555	1.1243075730673653	2.961596368040044	0.5631675891349333	174.50251249976722	1.7997829145424746	5.730965738136014	26.971102661259565	21.36007623880878
Clostridiales	86.74730766046855	155.89052519253624	131.0905056174403	31.94308452771523	119.75549440740424	131.9768362782525	218.16433491487084	16.659354097862508	243.8510524118932	302.0820072807599	38.730188021253	281.87481294945053	265.97030023686733	40.409901231714194	314.8955336515352	118.00720959666087	79.06456365891181	45.85178669389389	16.708863119247866	77.50182932857135	136.94093828343796	8.56738848942502	202.6000361590056	130.66691151687783	89.66482162432693	96.97081822845963	213.54022868335048	55.99093057569113	372.58406473655305	304.8039858986414	80.09652107604227	22.68851473337381	49.56186964944475	124.05853725287534	231.824255031931	291.412573641081	226.55538612035227	135.21613929235684	116.08836572912094	88.25191233518277	54.515190367522884	42.00694441508035	122.33710973588116	77.95635600632181	172.972208957405	111.57077428613484	102.56664896521785	47.05010052617275	612.8870110908465	100.38722765092237
Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
