class	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Deltaproteobacteria	0.3745875889663623	0.05972462998512121	0.008283863837266972	1.5458289054540941	7.581002290996878	0.0017826688741721854	1.7909240320987834	0.0	1.6442722388555007	0.0	0.0036389274586457387	0.25414771538495207	0.08087169623216736	1.8198220093648796	0.022553281551769416	0.004480251655629139	0.020660251655629135	0.00767428476821192	0.012715374325349358	0.0016416887417218542	0.001358586647022785	0.003817089848878256	0.007810377483443711	0.01758631143332264	8.29904742241153	3.320952968068967	2.3832360982437204	3.336184152172011	0.16478990444029523	0.00683848344370861	0.4708404052936369	0.07407133965924673	0.0004451167400881058	0.005379883230737812	0.005228810397642735	0.03532429390699302	5.206963616324355	2.517212104713072	9.836681183395557	0.07046375496688742	0.0	5.60035497277329	7.244543383522479	0.6936335582971092	0.3654469372830177	1.1168541802083032	0.0	0.013075737688537505	0.0005498609271523179	0.010759170755900459
Fusobacteriia	0.0	0.0	0.0164594375	0.0	0.006209625	0.0447883125	0.0362706875	0.0	3.2073316875000004	0.0264035	2.6786224374999996	0.0	2.756976	0.0656	2.1508676875	0.006209625	0.0	0.80366025	0.3093701875	9.310192	0.0	0.07000825	0.0	0.01048875	0.5527782499999999	3.4369271874999994	0.0	2.5989155624999998	0.348108625	0.10701693749999999	0.005878875	0.2154401875	0.36493912500000003	0.0106881875	0.0331539375	0.006209625	1.3854503125	0.0	0.0	0.0	0.0	0.0	0.0	1.0347139374999998	0.005244375	0.007348625	0.03607375	0.0	0.015693875	0.1434494375
Betaproteobacteria	0.0001126551215917465	0.7675936340579709	0.0	0.0	0.7649606448047166	0.006875880496192582	0.014615220369688037	0.00023850921149594693	8.438688282977156e-05	0.00042973839351510693	0.023837666666666663	0.0010793971997052321	0.0007866720707442889	0.0	0.0008498275607958732	0.00018608548268238763	0.004531175233357897	0.006619612718005404	0.0008256838614591009	0.027897089904200433	0.0	0.07112258317980842	0.002865245394252027	0.013819787644313436	0.2881085401621229	0.14572047310243172	0.2744616022168999	2.8473549571358405	0.03790860528739867	1.4448898865143718	0.5815501775976414	0.0	0.0002495497420781135	0.00028303316138540897	0.45633869638909397	0.0025261908621960214	0.04994731466470153	1.4253400596904937	0.3640327538688286	0.0006456425939572587	0.0	0.003151484156226971	0.00026788430361090646	0.0013524767870302136	0.0008996698599852615	0.017029296978629326	0.0	0.0031341908621960223	0.0	6.1796637931098
Epsilonproteobacteria	54.089859000000004	73.246395	114.327268	21.316139	36.352047999999996	5.003266	32.025279	0.0	17.368534	383.338676	369.846152	102.913422	29.374878	21.703274	26.142566	22.957768	44.863893000000004	23.532218	9.499563	31.13099	0.211194	7.642026	472.89506500000005	52.43853	237.013908	75.824698	121.825141	26.43731	636.049285	29.073922	21.289335	1.44245	32.771922	403.893642	9.313718	444.923319	265.950507	63.883866	200.461186	5.055968	1.6009419999999999	1.036959	41.383528999999996	71.96024	114.014819	206.844808	37.968149000000004	22.748682	0.986271	36.476252
Chromadorea	0.246002	0.0	0.0	0.0	1.95572	0.492004	0.0	0.0	0.0	0.0	0.145141	0.0	0.0	0.0	0.0	0.0	0.492004	2.816726	0.0	0.0	0.0	0.246003	0.246002	85.560859	0.0	0.220172	0.0	0.463714	0.0	0.0	1.437886	2.643296	503.766749	0.0	0.246002	3.180808	1.460025	0.738009	0.0	0.0	0.246002	0.246002	0.0	3.558425	7.003691	0.0	0.0	0.0	0.735547	0.473555
Coriobacteriia	8.867852970124448	0.558069155585469	1.967748107256216	1.8483120937012634	1.3491634563326058	2.7704870834874686	1.3978020750773161	0.4536399048183489	0.5331642396017849	0.4926532794192667	2.7397784400078233	1.067321633917045	2.0554957039275332	0.6145942558830997	2.442899663125463	0.5258928294810835	1.0106007454974872	1.7145878204200287	0.5945966444441589	0.3750808982420872	9.718304176092786	0.3655513890397273	83.66885091157471	0.8207832317346815	5.7937508926519605	2.838284424290127	5.553825407976234	1.3447093268749155	10.948929834318589	8.15769901354252	0.3346797728648286	0.7774666855224466	0.23919410051154502	2.6139116617761466	3.0979533302421807	19.759388034405212	3.2364672631377136	2.3452414319550803	10.412873771720573	1.834028272941685	0.011056626114910508	2.7063613291980886	10.222440767338025	6.001952385708518	2.4206757238073777	3.3870396117949126	0.27820631001712837	4.587860919983816	19.44392038387228	14.213154912800341
Clostridia	86.74730766046855	155.89052519253624	131.0905056174403	31.94308452771523	119.75549440740424	131.9768362782525	218.16433491487084	16.659354097862508	243.8510524118932	302.0820072807599	38.730188021253	281.87481294945053	265.97030023686733	40.409901231714194	314.8955336515352	118.00720959666087	79.06456365891181	45.85178669389389	16.708863119247866	77.50182932857135	136.94093828343796	8.56738848942502	202.6000361590056	130.66691151687783	89.66482162432693	96.97081822845963	213.54022868335048	55.99093057569113	372.58406473655305	304.8039858986414	80.09652107604227	22.68851473337381	49.56186964944475	124.05853725287534	231.824255031931	291.412573641081	226.55538612035227	135.21613929235684	116.08836572912094	88.25191233518277	54.515190367522884	42.00694441508035	122.33710973588116	77.95635600632181	172.972208957405	111.57077428613484	102.56664896521785	47.05010052617275	612.8870110908465	100.38722765092237
Spirochaetia	0.330974	43.241220999999996	61.633089	31.052494	47.982533	15.57876	1.6315369999999998	0.146903	3.787607	2.853982	0.176991	9.586723	95.553983	4.572567	7.930085	0.166372	14.743361	11.465494	4.065487	3.111504	0.0	0.172566	19.348674	18.980972	0.707964	0.353982	47.76636	115.86447700000001	1.592919	1.384955	5.087889	0.0	4.837962	7.146452	69.868993	4.466652	1.379646	6.514161	39.20885	0.502654	0.463114	26.207200999999998	35.127427	16.538053	43.737181	4.892923	10.180533	0.991432	0.0	6.136908
Mammalia	0.05534304761904762	0.0	0.016459500000000002	0.0	0.059599571428571425	1.1906584999999998	0.003791333333333333	0.0	0.003946333333333334	0.00911047619047619	0.022230785714285713	0.09803925	0.028733619047619046	0.3352545119047619	0.011991119047619049	0.01294761904761905	0.011720452380952382	4.905863238095238	0.15304740476190476	0.004119285714285714	0.017070119047619046	0.0	0.6298733214285714	1.6861393095238089	0.0	0.1364315476190476	0.03953661904761905	0.6247959642857143	0.024098619047619046	0.018076690476190475	0.03854307142857143	0.4021388571428572	26.309535428571426	0.11683480952380952	0.04073314285714286	0.07955350000000001	0.045770619047619046	0.10671134523809522	0.2644385952380952	0.014942309523809524	0.1749318333333333	0.39573325000000004	0.14767176190476192	0.10145633333333334	0.11971892857142857	0.17862027380952378	0.012889642857142856	0.010663809523809523	0.03109026190476191	5.212957285714285
Methanobacteria	0.009308072423398333	0.3489529999999997	0.0	0.006875537604456826	0.0037891002785515326	0.00014726462395543176	0.040659465181058486	0.00028796378830083565	5.0715877437325906e-05	0.0	0.0005686211699164346	0.004318484679665738	0.003314785515320334	0.0	0.0	0.0004215153203342619	0.0003116128133704735	0.0	0.0	0.009245239554317554	0.00028640947075208917	0.10946789136490252	0.01905025348189415	0.008804785515320334	7.712813370473538e-05	0.0	0.011565097493036209	0.0007057298050139277	0.0008037047353760445	0.03994633147632313	0.00011834540389972145	0.0	0.048274846796657375	0.23759708077994426	9.69487309470753	0.18627206406685243	0.0008535515320334262	0.00034532033426183846	0.13958493593314747	0.0	0.0	20.466311707520894	0.0005648050139275766	182.16736232590523	17.958164835654603	0.47443204178272963	8.759888579387187e-05	0.023854270194986076	0.0	0.004476033426183845
