genus	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Lineavirus	0.0	0.166737	0.288954	0.0	0.0	0.246334	0.0	323.631432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.204747	0.0	0.048932	0.0	0.0	0.0	0.0	0.0	1.85463	0.026124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.892335	0.0	0.106087	0.075587	0.0	0.0	0.0	0.0	0.251028	37.257901	0.303541	0.0
Vi1virus	0.265628	3.365363	2.453996	0.0	1.175025	0.0	2.089199	0.075432	6.614413	0.0	38.293854	5.890714	41.382622	0.556258	0.028094	3.528871	0.0	5.843658	0.442619	0.586319	34.17783	9.930467	0.20958	0.23669	0.028094	0.926113	0.31423	1.015873	203.64264	30.112805	0.179801	15.428575	0.0	30.486445	0.931731	5.763871	0.70066	0.306644	19.151141	3.577606	87.565102	0.872032	0.024582	2.142014	3.547835	0.099874	1.376458	87.106313	1.524373	0.496839
Eggerthella	0.8971010676576673	0.07329625434473713	0.08454923259372608	1.3314044810361794	0.7151412555470542	0.6620911190294013	1.2647433745764556	0.15979613465952552	0.47170482325937246	0.4061635225707729	2.6973553790578197	0.009283759755164501	0.2954057865340475	0.17164130877691552	0.474422613509673	0.44601665045360145	0.2888372531424199	0.29768948409662277	0.2081921032899771	0.34582565799540926	7.847416672532515	0.019615632746748286	1.3720608573614603	0.14398032593726093	2.7605659196633554	1.3001731576128557	0.5935811449338727	0.1993689251284293	0.2589665459613071	3.5021990573833217	0.13152550967318832	0.63501477483878	0.00212257765876052	1.307254489998907	0.5859935357962621	9.428368940758553	1.342539277735271	0.0007994024483550115	1.0415870107115517	0.9879554146901295	0.00914334200459066	0.16543041053667068	8.780782157612844	0.6195140315881517	1.2171594575363422	0.9267232960979339	0.021571817138485064	2.5066843557765877	3.940292879112474	2.6027358709148545
Escherichia	0.023609092661481236	9.797543522827189	0.7226378968549204	0.013281110923233003	0.6467308319242473	0.18625431416976632	4.820809490361853	118.53815956002694	0.6775810476834622	12.405618345620564	2.7700498491714587	3.056716129861353	18.789330423402095	0.238579826513358	0.38340354717619185	9.313751173486637	339.0549340196145	0.9876607213391968	0.02089543354751437	0.07046361515049025	11.131347921542101	1.0672614315184308	70.76784028001346	0.06114938045316203	156.52178170984115	0.5966358586405142	36.372124120730426	1.1525487477172802	6.544750751437276	2.9714024000676305	0.17715423605005057	1.829007756509976	0.0584522100101454	2.614518732160979	0.06571274332093344	0.589716171119378	3.06625621880284	0.5223750185999311	3.7015813213842836	4.371767447074736	12.253321919174871	0.5392882489009132	0.9310624754819077	1.9670857683462952	0.291450548190734	174.4067370737232	1.2853250683124804	4.800554581332435	26.69181739499486	21.229714758877236
Roseburia	0.8715350067842396	7.294241450675079	5.723723607550196	1.1564829331574114	8.57735192573432	5.939015732408927	37.620074600438656	0.5855480740575495	35.63552198929595	33.930110368404755	8.288351137205495	81.97088377518321	60.29958091032919	8.149583650892202	32.481736452387125	43.32696539645958	6.924696555534397	10.936337029839068	1.53677571853245	7.646350754810116	0.8962592149968593	0.3374562345827044	0.43202892435595075	19.838966001518802	2.7278274164734837	23.536826974288044	16.15970493033751	3.1920586073613357	13.28193328068388	2.698264468541009	8.417688157639596	2.228080158791214	3.3549818633045847	14.950381234004992	6.785789257389931	2.4915505616892615	33.245110186619904	14.184145479117035	24.062366671971276	5.651961493264533	0.2551696374066104	2.5868395772799038	3.9423052066413007	7.506859445615467	42.66265913067588	4.5230680247535044	41.87726099348618	5.919560036078476	106.32710299658308	3.510527650624172
Carnegiea	0.0043448125	0.0	0.0113899375	0.0	0.0368356875	0.0	0.0253510625	0.013054	0.0	0.0	0.0	0.0201605	0.0845018125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2658658125	0.0	0.00908	0.0	0.0	0.014450875	0.01609125	0.0048169375	0.0048169375	0.0	0.004792875	0.0	0.0	0.0146458125	0.0	0.0	0.0	2.1525067499999997	0.0	0.0	0.0	0.3450238125000001	0.0048169375	0.021197312500000003	0.00908	0.0	5.420525625000001	0.24812218749999998	0.0139430625	0.0
Histophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.250319	0.0	0.247765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.254151
Mammarenavirus	0.033513	0.0	0.0	0.0	0.561087	0.0	0.0	0.0	0.0	0.36923	0.0770415	0.0	0.0751155	0.0	0.068567	0.0	0.1206275	17.3969575	0.0	0.0	0.0	0.0	0.455493	5.948506500000001	0.075501	0.2124335	0.0	0.076271	0.1251925	0.0	0.072034	1.363486	109.64992000000001	0.9109185	0.0674115	1.1300135	0.135593	0.0770415	0.384615	0.146764	0.7286155	0.076271	1.318376	0.5157965	0.0946925	0.0	0.0	0.0	0.44627249999999996	3.9343500000000002
Pagevirus	1.56784	0.0	0.0	0.0	0.0	5.022113	0.0	0.100503	0.0	0.0	0.0	0.0	0.0	1.194473	0.0	0.201005	0.0	0.0	0.0	0.0	5.508541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.488442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Avipoxvirus	0.0	0.0	0.0	0.0	0.056695	0.0	0.006349	0.0	0.0	0.2291825	17.2735075	0.0	0.050378	0.1527885	0.0	0.0	0.018983	0.0050475	0.0	0.0	0.0	0.0	0.0	0.286109	0.076394	0.006349	0.0	0.0	0.018253	0.0	0.0	0.0	0.0	0.212376	0.0	0.0	0.004984	0.2029575	0.0	1.190603	6.1061855	0.0	0.0	0.0	2.8523255	0.0	0.0	0.0	0.0	0.0
Atopobium	0.08325216666666667	0.0	0.02824566666666667	0.0	0.0	0.0	0.04812033333333333	0.23213399999999998	0.0	0.08526016666666668	0.0	0.031974833333333334	0.0	0.0	0.0	0.0	0.05117683333333334	0.0	0.0	0.0	0.0	0.3088323333333333	0.18554366666666666	0.0	0.015227666666666667	0.0	0.0	0.0	0.34208750000000004	0.08970216666666668	0.0	0.0	0.0	0.2843178333333333	0.03046916666666667	0.08605516666666667	0.1249685	0.020588833333333334	0.0	0.0	0.0	0.02954	0.14776033333333335	0.13904916666666667	0.0	0.124238	0.013704833333333333	0.0	14.417190999999997	0.0
Pyramidobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154083	0.453004	0.0	0.0	0.0	0.142527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154083	0.0	0.0	0.151772	0.12943	0.0	0.0	0.0	0.0	0.0	0.0	2.347456	0.116333	0.0	0.0	0.0	0.0	0.0	0.0
Circovirus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081094	0.0	0.0	0.0	0.0	0.0	0.192965	0.193942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.066447	0.0	0.675622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.180752	0.0	0.0	8.594531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tannerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.356506	0.0	0.0	0.0	0.0	0.0	0.0	6.1729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Omegavirus	5.367239	1.322162	2.639134	1.801039	1.836204	0.70734	0.474864	0.0	0.923058	0.0	2.253717	3.75643	15.655889	0.0	3.275906	0.818504	0.966485	3.922584	0.854142	3.117299	4.629694	7.357802	0.0	3.40453	27.162377	0.347416	0.40288	2.111402	0.203918	13.48218	0.616473	2.494454	0.184092	0.879869	0.134529	0.0	10.36654	0.685627	4.144914	17.414914	0.047203	5.303045	0.0	0.341044	3.93061	4.879636	0.046259	5.047439	1.855794	2.499174
Klosneuvirus	0.0	0.047779749999999996	100.02452650000001	0.0	0.04202375	0.03958825	0.0	0.0	1.34065725	0.0	0.2763265	0.116761	0.62983075	1.13390825	0.0	0.0	0.0403435	0.03958825	0.0318685	0.43426575	0.10176874999999999	0.0	0.0637475	0.00075525	0.19734725	0.431512	0.0	46.696895250000004	0.041910499999999996	0.8362232500000001	0.08481375	0.0	0.037332	0.00745875	0.0	0.040371	1.1397465	0.05747125	0.041471	0.0	0.06248425	0.0633825	0.0	5.1749047500000005	0.0	0.1370255	0.08521225	0.023183	0.22120675	0.3486325
Mimivirus	0.0	0.0137115	18.09556175	0.0356125	3.22704	0.68670025	0.143651	0.0	2.28219325	0.062326	0.384081	0.004358	4.4016945000000005	3.9966990000000004	0.00707375	0.1023045	0.01780625	0.039346	1.7993705	0.07781375	0.38348775	0.214966	0.86747025	0.023289999999999998	0.04213025	0.4032785	4.25625825	0.24203799999999998	7.06485475	1.2135395	0.10419025	0.065468	0.012230749999999999	3.1862012499999994	0.037745	0.1292415	0.00228725	0.0366915	0.11382225	36.555578	4.76578475	0.06375399999999999	7.1130515	0.5349649999999999	0.144907	0.2311255	0.028314	0.008716	0.1675955	0.44328550000000005
Iltovirus	0.04424914285714286	6.928745571428571	0.5769789999999999	0.009941285714285713	0.5548207142857142	0.3698451428571429	5.102555714285715	182.0450094285714	1.0460847142857144	0.10785514285714286	0.5672112857142857	1.3725022857142861	0.590377	0.2557575714285714	0.29470857142857143	7.601336571428571	0.015158428571428571	1.2035781428571428	0.059899	0.089973	2.302578857142857	1.1614605714285715	43.336253000000006	0.20027728571428569	99.75350157142859	3.119690285714286	14.766297714285713	0.6351977142857143	3.421852571428571	1.1720974285714285	0.11956385714285714	2.05497	0.056765142857142854	1.1752742857142857	0.10232142857142856	0.5957891428571428	5.007881428571428	0.11483271428571429	1.9925058571428569	0.7145111428571429	3.3072135714285715	0.39540628571428565	0.571917	0.854116	0.18048899999999998	69.91923014285715	0.2677461428571429	8.263336571428571	11.130282857142857	44.50986342857143
Finegoldia	0.024823142857142856	0.0	0.0	0.0	0.0	0.0655812857142857	0.0	0.0	0.02539685714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.07366314285714286	0.0	0.038727571428571424	0.0	0.0	0.027229142857142858	0.0	0.024823142857142856	0.0	0.0	0.0	0.0	0.1144212857142857	0.0	7.431346285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03815914285714286	0.0	0.0	0.0	0.0	0.4135561428571428	0.0	0.0	0.0	0.0	0.0	0.0
Onchocerca	0.246002	0.0	0.0	0.0	1.95572	0.492004	0.0	0.0	0.0	0.0	0.145141	0.0	0.0	0.0	0.0	0.0	0.492004	2.816726	0.0	0.0	0.0	0.246003	0.246002	85.560859	0.0	0.220172	0.0	0.463714	0.0	0.0	1.437886	2.643296	503.766749	0.0	0.246002	3.180808	1.460025	0.738009	0.0	0.0	0.246002	0.246002	0.0	3.558425	7.003691	0.0	0.0	0.0	0.735547	0.473555
Parabacteroides	1.8487829178396078	2.3476196163368543	4.19984407983931	0.7817002822199077	8.009737357774146	1.7960267401577144	4.299041338788872	0.03184043195952983	0.9363403561077224	5.486665010801962	22.99515393986013	2.959037925427763	6.346904414164561	0.49167022755542317	1.623412467311412	0.3464345450379409	0.26009570141348004	109.55323813105187	1.6583837221246842	1.4559006489808066	4.150023611992264	5.3426007497396215	0.8364616585924716	11.13296517089719	2.275757543966672	1.6177328541288487	0.10588109290284184	0.5353714229132569	4.653935716589793	2.0293619202202047	1.8871574080345181	11.207111628418389	0.38684391179883937	6.166680011932748	3.7864641629519418	9.043529292635025	2.498131161642612	1.7832861894360956	5.322830254902543	41.95786028091058	0.14127659767891682	1.7054207458116353	2.59436855095968	3.168035351584586	9.99269222312156	0.12466226135991666	0.05946187888707037	30.97311920199376	0.9536940708227946	8.583068461211129
Pegivirus	0.0	0.0	0.049296	0.216685	0.43012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.14843	0.0	0.181474	0.108342	0.0	0.0	0.0	0.0	0.321777	0.0	3.770858	0.310943	0.0	0.0	0.255146	0.0	0.104009	0.0	0.0	0.0	0.0	22.248103	0.070422	0.325027	0.212351	0.860239	0.0	0.102384	0.0	0.216143	3.620799	0.0	0.0	0.0	0.386241	0.42091
Phix174microvirus	0.0	0.3651386	0.0	0.0	0.3275402	0.3647714	0.0229138	101.3414998	0.0	0.0	0.0223314	0.3587122	0.0	0.004909	0.07721320000000001	1.5973568	0.0342688	0.27168380000000003	0.0	0.0	0.0	0.0	0.0	0.0726222	35.873675999999996	0.158384	0.5048526	0.1811846	0.050117199999999994	0.135406	0.0648736	0.0277228	0.0	0.0302606	0.0	0.14310799999999999	23.6074756	0.49213319999999994	0.37008420000000003	0.0	0.6899962000000001	0.5502613999999999	0.0	0.08660999999999999	0.0	0.0074502	0.05378619999999999	0.08110999999999999	0.6482272	0.0
Gilesvirus	0.12368374999999998	9.29698975	3.3739598333333336	0.29636108333333333	1.2195541666666667	0.04809708333333334	2.0992113333333333	0.013490583333333334	0.05974408333333334	0.02782916666666667	1.9966939166666666	0.02155383333333333	0.0304735	0.93555425	0.22240233333333334	0.7664741666666665	0.026176833333333333	0.017151833333333335	0.0158745	0.046822416666666665	15.869755583333331	0.27461983333333334	0.8459997499999999	0.07589758333333334	2.4454425	0.17690108333333335	0.05383933333333333	0.51930675	3.605066583333334	1.10444425	0.0	0.057048999999999996	0.039184916666666667	0.11313841666666664	3.8210570833333333	0.7683703333333334	0.2255758333333333	0.5327566666666667	15.548707416666668	0.07323624999999999	1.4481553333333332	0.004832833333333333	0.8231989166666667	21.32646983333333	0.11012666666666666	1.8837528333333333	0.30540883333333335	0.5812593333333332	1.2257241666666667	0.1631685
Clostridioides	12.274649837209301	3.290958186046511	9.77165058139535	8.387975906976743	14.570996000000003	8.358577325581395	6.869986488372093	5.942126418604651	3.293397139534884	15.050721604651162	4.199452790697674	6.852832279069768	6.927114302325581	2.7449542790697676	9.887171976744186	4.667324093023256	1.7828397441860462	1.9513326046511632	2.7908670465116283	2.268656534883721	18.63772844186047	1.0298162325581395	21.46112948837209	3.8895230930232567	6.825100511627906	2.624587860465117	3.582783418604651	10.857614837209303	12.963006999999998	10.283758186046512	2.7252595116279066	2.904018534883721	0.6201073255813954	9.937678162790696	22.589508116279074	27.763051906976738	9.338996860465118	3.8046682558139544	8.525447534883718	6.644094209302327	4.115850488372094	2.7442020465116284	2.8023123023255816	7.180714674418605	6.479033906976744	5.306515116279071	4.902548511627907	1.3446752558139534	22.11769427906977	4.3497481627906955
