species	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Shigella phage SfX	0.017741	0.24906189999999997	0.1331792	0.0026103000000000003	0.11388880000000001	0.0744615	3.4429538	58.0334931	0.2036518	0.3767515	0.5065947	0.1188525	1.4055434	0.1455711	0.007725	3.3977401	0.0104166	0.3304891	0.009805900000000001	0.018013099999999997	0.332067	0.4334839	2.1445584	0.006969500000000001	1.3503253000000002	0.0912134	6.936342400000001	0.1299828	1.9833082999999998	0.4254443	0.0263705	0.3049735	0.033505099999999996	0.1255247	0.017287900000000002	0.0296954	1.5252439999999998	0.006099499999999999	0.6673364999999999	1.8114965	2.1611034	0.06640149999999999	0.011915100000000001	0.33703209999999995	0.085004	42.500735500000005	0.1410423	2.9686567	0.42624110000000004	4.629598499999999
Tomato yellow leaf curl virus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.281949999999998	0.0	6.7369275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1142544999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011418	0.0	0.0
Roseobacter phage DSS3P8	4.2421378333333335	0.5446255	2.01960775	1.5118580833333335	1.13100925	3.1767635	0.8189150000000002	6.215911916666666	2.3229421666666665	16.425374166666668	8.24471975	2.3184938333333336	4.1969375	0.6195428333333334	4.438253250000001	1.700032	3.423200416666667	1.7669274166666666	1.49590425	0.4105574166666666	3.3003536666666666	0.5820311666666667	10.393160666666665	0.7365949166666667	3.6537160833333338	0.7750292499999999	3.1363180000000006	1.9483249166666667	13.601866750000001	1.0066434166666667	0.7936454999999999	0.7696694166666666	0.2797325	1.97222825	1.6139445	4.056859416666666	7.290987416666667	0.34253516666666667	4.79967975	5.088922833333334	0.007478666666666666	0.6277291666666666	4.669742083333333	2.2074380000000002	1.963344333333333	6.913705333333333	1.4963689166666667	0.8499124166666666	10.303282666666666	3.1565985
Riemerella anatipestifer	0.214912	0.217653	0.219298	4.502743	0.219298	2.257677	3.163377	0.0	0.971492	40.530696	0.419408	0.0	0.0	0.328947	0.109649	0.65296	5.974237	0.108553	2.819076	0.109649	0.219298	0.0	5.451205	8.517542	0.327851	367.255998	0.0	2.26535	2.598135	0.219298	0.0	0.0	0.0	0.429276	0.0	0.0	1.668311	0.620614	0.0	0.219298	0.869518	3.017543	0.0	0.0	0.50932	0.0	0.0	1.782896	0.0	0.0
Propionibacterium virus PAS50	0.0	0.618167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.152741	56.094862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.547421	0.0	0.96463	0.0	9.753214	0.160772	0.0	0.0	0.159968	0.0	0.0	0.0	0.0	226.211428	0.0	0.0	0.0	0.0	0.0	0.0
Porphyromonas gingivalis	0.0	0.0	0.0	0.0	0.0	0.6435695652173913	0.0	0.0	0.0	0.0	0.0	0.5651663478260869	0.0	0.0	0.06266017391304347	0.0	0.0	0.0	0.0	0.4842550434782608	0.0	0.0	0.01092678260869565	0.0	0.013570130434782607	0.17979286956521742	0.0	0.0	0.014251478260869564	0.01219895652173913	0.0	0.0	0.04009404347826087	0.0	0.0020307391304347825	0.060169130434782614	2.696323652173913	0.14178295652173914	0.0	0.0	0.0	0.0	0.0	0.12407834782608695	0.771236347826087	0.0	0.0	0.0042075652173913045	0.14335547826086956	0.2603740434782609
Staphylococcus phage StAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171086	0.312233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.17879	0.0	0.0	0.0
Streptococcus dysgalactiae group	0.0	0.067039	0.0	0.0	1.625175	0.0	0.0	0.0	0.0698325	0.0698325	0.0	0.1007795	6.1785255	0.0	0.0	0.0	0.1113585	0.0	0.175623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7084015	2.1367944999999997	3.578448	0.0	0.0	0.0	0.0	0.0	0.0698325	1.4340575	0.0	0.2733935	0.181191	0.0	0.0	0.0	0.068785	0.1113585	0.0698325	0.0	0.0	0.0	0.0
butyrate-producing bacterium SS3/4	0.19834953517587942	0.19871016206030137	0.23966910804020095	0.15599200753768844	0.832772242462311	0.21832879648241205	1.670280668341706	0.0026833077889447236	2.09789237562814	0.7809019359296482	0.09137447236180905	0.7190924183417086	5.10302045854271	0.26472299623115575	0.44339658417085415	0.6822858391959798	0.1912262085427136	0.09810722361809045	0.11419510804020107	0.2266644409547738	0.07358956281407036	0.31753380150753724	0.6119506972361812	0.9843053907035171	0.5422659610552761	1.1469564120603013	0.6832187801507537	0.41084728768844214	4.925605057788944	0.9877845954773862	0.6723529082914574	1.5390754736180912	0.4480300565326629	0.28999391457286405	1.002630344221106	1.477323749999999	0.879890782663316	0.3611148128140703	0.4203236947236183	6.831606192211059	0.010652344221105527	0.10291320979899499	0.07709961306532664	0.2537526055276381	1.2711000728643207	1.9287475163316572	0.5542117989949745	0.22006204145728636	0.20467703140703528	0.277477317839196
Gordonia phage Cucurbita	0.038002	2.0595911428571427	1.3080444285714286	1.0908225714285715	1.361951	0.04800485714285714	0.08200028571428572	0.0	18.122653714285715	0.0	0.0007721428571428572	30.69094042857143	1.1979527142857143	0.6833011428571428	6.41211057142857	0.15052114285714285	0.9320225714285713	0.2880292857142857	1.3885352857142856	0.4739547142857143	0.05055928571428571	0.4389801428571429	0.4052112857142857	2.814817	0.13020199999999998	1.6183744285714285	0.225017	0.6535779999999999	3.3627062857142853	0.468775	2.1105445714285715	0.149238	0.07936857142857143	1.854055285714286	6.821202571428572	0.12601528571428572	5.30673857142857	4.839175285714285	11.521248428571429	0.011324142857142857	0.0007721428571428572	6.9965404285714285	1.2588655714285715	1.9277808571428572	3.5616510000000003	0.08503257142857143	0.0	0.046321857142857144	0.0	11.045772999999997
